dataset	n_files	mode	centroid	contains_profile	contains_centroid	MS:4000059_mean	MS:4000059_std	MS:4000059_min	MS:4000059_max	MS:4000060_mean	MS:4000060_std	MS:4000060_min	MS:4000060_max	MS:4000067_mean	MS:4000067_std	MS:4000067_min	MS:4000067_max	MS:4000053_mean	MS:4000053_std	MS:4000053_min	MS:4000053_max	MS:4000065_mean	MS:4000065_std	MS:4000065_min	MS:4000065_max	MS:4000066_mean	MS:4000066_std	MS:4000066_min	MS:4000066_max	MS:4000095_mean	MS:4000095_std	MS:4000095_min	MS:4000095_max	MS:4000096_mean	MS:4000096_std	MS:4000096_min	MS:4000096_max	MS:4000097_mean	MS:4000097_std	MS:4000097_min	MS:4000097_max	MS:4000098_mean	MS:4000098_std	MS:4000098_min	MS:4000098_max	MS:4000099_mean	MS:4000099_std	MS:4000099_min	MS:4000099_max	MS:4000100_mean	MS:4000100_std	MS:4000100_min	MS:4000100_max	MS:4000029_mean	MS:4000029_std	MS:4000029_min	MS:4000029_max	MS:4000030_mean	MS:4000030_std	MS:4000030_min	MS:4000030_max	MS:4000031_mean	MS:4000031_std	MS:4000031_min	MS:4000031_max	NEW-004_mean	NEW-004_std	NEW-004_min	NEW-004_max	NEW-005_mean	NEW-005_std	NEW-005_min	NEW-005_max	NEW-006_mean	NEW-006_std	NEW-006_min	NEW-006_max	NEW-007_mean	NEW-007_std	NEW-007_min	NEW-007_max	NEW-008_mean	NEW-008_std	NEW-008_min	NEW-008_max	NEW-009_mean	NEW-009_std	NEW-009_min	NEW-009_max	NEW-010_mean	NEW-010_std	NEW-010_min	NEW-010_max	NEW-011_mean	NEW-011_std	NEW-011_min	NEW-011_max	NEW-012_mean	NEW-012_std	NEW-012_min	NEW-012_max	NEW-014_mean	NEW-014_std	NEW-014_min	NEW-014_max	NEW-021_mean	NEW-021_std	NEW-021_min	NEW-021_max	NEW-023_mean	NEW-023_std	NEW-023_min	NEW-023_max	NEW-024_mean	NEW-024_std	NEW-024_min	NEW-024_max	MS:4000050_mean	MS:4000050_std	MS:4000050_min	MS:4000050_max	MS:4000193_mean	MS:4000193_std	MS:4000193_min	MS:4000193_max	MS:4000194_mean	MS:4000194_std	MS:4000194_min	MS:4000194_max	NEW-016_mean	NEW-016_std	NEW-016_min	NEW-016_max	NEW-017_mean	NEW-017_std	NEW-017_min	NEW-017_max	NEW-018_mean	NEW-018_std	NEW-018_min	NEW-018_max	NEW-019_mean	NEW-019_std	NEW-019_min	NEW-019_max	NEW-020_mean	NEW-020_std	NEW-020_min	NEW-020_max	NEW-027_mean	NEW-027_std	NEW-027_min	NEW-027_max	NEW-028_mean	NEW-028_std	NEW-028_min	NEW-028_max	NEW-029_mean	NEW-029_std	NEW-029_min	NEW-029_max	NEW-030_mean	NEW-030_std	NEW-030_min	NEW-030_max	NEW-031_mean	NEW-031_std	NEW-031_min	NEW-031_max	NEW-032_mean	NEW-032_std	NEW-032_min	NEW-032_max	NEW-035_mean	NEW-035_std	NEW-035_min	NEW-035_max	NEW-036_mean	NEW-036_std	NEW-036_min	NEW-036_max	NEW-037_mean	NEW-037_std	NEW-037_min	NEW-037_max	NEW-038_mean	NEW-038_std	NEW-038_min	NEW-038_max	NEW-039_mean	NEW-039_std	NEW-039_min	NEW-039_max	NEW-040_mean	NEW-040_std	NEW-040_min	NEW-040_max	NEW-041_mean	NEW-041_std	NEW-041_min	NEW-041_max	NEW-042_mean	NEW-042_std	NEW-042_min	NEW-042_max	NEW-043_mean	NEW-043_std	NEW-043_min	NEW-043_max	NEW-044_mean	NEW-044_std	NEW-044_min	NEW-044_max	NEW-045_mean	NEW-045_std	NEW-045_min	NEW-045_max
PXD073126	5	MS2-only	unknown	False	False	0.0	0.0	0.0	0.0	5877.8	297.7518	5465.0	6270.0	41.944	3.9094	37.23	48.3									100.0	0.0	100.0	100.0					0.2596	0.046	0.1866	0.3311									0.0	0.0	0.0	0.0	0.8	0.7483	0.0	2.0					532287.5945	230890.8091	264287.737	831102.889									6.0703	0.1811	5.7895	6.2489	0.0116	0.0045	0.0072	0.0193	1.7931	0.1983	1.5635	2.1528	0.0	0.0	0.0	0.0																					0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0																																	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5877.8	297.7518	5465.0	6270.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																	4827.6	251.6486	4408.0	5147.0	4827.6	251.6486	4408.0	5147.0	0.0	0.0	0.0	0.0
PXD073407	5	MS2-only	unknown	False	False	0.0	0.0	0.0	0.0	2350.4	737.0928	1415.0	3294.0	75.6767	21.4867	64.8833	118.65									60.0	0.0	60.0	60.0					0.0371	0.0068	0.0248	0.0451									0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0					434371.3667	253971.1663	188233.9265	881570.7721									3.5546	0.4612	3.1103	4.4239	0.2047	0.1128	0.0157	0.3428	2.2999	0.3266	1.8982	2.8217	0.0	0.0	0.0	0.0																					0.0	0.0	0.0	0.0	0.8527	0.0448	0.7852	0.9053																																					0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2350.4	737.0928	1415.0	3294.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																	1575.6	532.1393	962.0	2443.0	1575.6	532.1393	962.0	2443.0	0.0	0.0	0.0	0.0
PXD074079	5	MS2-only	unknown	False	False	0.0	0.0	0.0	0.0	414.0	287.8611	49.0	785.0	84.2583	24.4016	35.5227	98.9177									433.6577	193.0146	47.6463	531.6321					0.0494	0.0577	0.0167	0.1647									0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0					38019946.068	23242073.7754	8814128.7183	76015507.5132									4.5864	0.2891	4.2359	4.9972	0.0003	0.0005	0.0	0.0013	1.1193	0.1123	0.9082	1.2329	0.0	0.0	0.0	0.0																					0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0																																	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	414.0	287.8611	49.0	785.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																													599.1238	9.6453	586.2051	616.2127	281.6	198.2116	31.0	539.0	274.8	194.1467	29.0	527.0	0.0	0.0	0.0	0.0
PXD074569	4	MS1-only	profile	True	False	1004.0	0.0	1004.0	1004.0	0.0	0.0	0.0	0.0	16.9595	0.003	16.9578	16.9647	14.9938	0.0043	14.9863	14.9963	59.232	0.0704	59.1747	59.3472					54.1359	6.7395	42.4628	58.027					0.75	0.433	0.0	1.0	10.75	2.8614	7.0	14.0	93.5	6.3443	88.0	104.0	0.0	0.0	0.0	0.0	7634349.5406	1054321.6728	5884240.8862	8520135.8588									12.9529	0.3197	12.6658	13.4614													0.4462	0.0039	0.4432	0.4529	0.863	0.1011	0.699	0.9752	0.3994	0.0388	0.333	0.4298	190208.6125	19757.1787	167173.5	221250.05	2.0712	0.3665	1.4378	2.3112																																																	1004.0	0.0	1004.0	1004.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	500.0234	0.0	500.0234	500.0234	2500.804	0.0	2500.804	2500.804	2000.7805	0.0	2000.7805	2000.7805	500.0	0.0	500.0	500.0	2500.0	0.0	2500.0	2500.0	2000.0	0.0	2000.0	2000.0									0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PXD075270	5	MS1-only	profile	True	False	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0																																	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0													15.8168	0.2974	15.4277	16.1949													0.0001	0.0	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68302.1899	10275.5825	52085.3283	84280.1539	1.0	0.0	1.0	1.0																																																	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	270.2207	4.561	266.9658	279.2853	2810.9871	0.4254	2810.7695	2811.8379	2540.7664	4.6677	2531.494	2543.8037	270.2207	4.561	266.9658	279.2853	2810.9871	0.4254	2810.7695	2811.8379	2540.7664	4.6677	2531.494	2543.8037									0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PXD075396	5	DDA	centroid	False	True	945.8	41.7919	882.0	986.0	8615.2	12.7499	8591.0	8626.0	24.7285	0.5883	24.1679	25.8629	24.6704	0.5981	24.1248	25.8292	240.8299	7.8195	228.5593	248.089	2331.2834	48.5097	2243.2	2377.5333	23.6878	0.2882	23.348	24.1222	23.3012	23.8038	8.7041	70.651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43520357771.8685	9375016814.7299	26619818488.6596	50711995378.709	386675040.1073	132754956.587	190328434.1655	502281895.7874	119.5592	21.7016	100.9632	151.576	7.7425	0.5029	7.3249	8.4376	7.1894	0.3815	6.8678	7.7048	0.0	0.0001	0.0	0.0002	2.0949	0.2944	1.6914	2.3409	0.0	0.0	0.0	0.0	0.7653	0.0438	0.7077	0.808	0.4058	0.0298	0.3686	0.4337	45657293.02	38028976.4336	25222939.0	121652396.0	59.8803	28.1989	7.5623	81.7833	0.5599	0.0359	0.5301	0.6088	1.0	0.0	1.0	1.0	0.758	0.0368	0.7285	0.8256	1.0	0.0	1.0	1.0	0.0229	0.0192	0.0073	0.0519																													0.0	0.0	0.0	0.0	945.8	41.7919	882.0	986.0	0.0	0.0	0.0	0.0	8615.2	12.7499	8591.0	8626.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	749.995	0.0076	749.9886	750.0095	1999.9669	0.0032	1999.9631	1999.9709	1249.9719	0.0097	1249.9536	1249.9803	750.0	0.0	750.0	750.0	2000.0	0.0	2000.0	2000.0	1250.0	0.0	1250.0	1250.0	1.8	0.0	1.8	1.8	720.8872	49.8355	679.8046	798.5435	8267.6	97.7581	8121.0	8347.0	8045.0	81.5083	7937.0	8135.0	0.0	0.0	0.0	0.0
PXD075509	5	DDA	centroid	False	True	894.4	42.4811	843.0	937.0	8106.6	42.4811	8064.0	8158.0	24.9016	0.067	24.7855	24.9876	24.882	0.0633	24.7649	24.9571	253.3825	8.3854	241.0686	261.6831	2326.1443	33.7409	2285.0597	2363.5968	23.3391	0.6431	22.1257	23.9463	49.4475	27.3197	26.6237	87.0571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32784108869.9048	6158078199.0508	24916999003.3922	38385485000.0132	407051397.6924	117380481.4785	252975786.2348	509541564.1061	83.4853	10.2764	74.936	98.4956	7.4393	0.7612	6.7856	8.3924	4.4715	0.0717	4.3586	4.5835	0.0	0.0	0.0	0.0	1.9765	0.2764	1.6325	2.225	0.0	0.0	0.0	0.0	0.7416	0.0501	0.6763	0.791	0.4039	0.0328	0.3637	0.436	68758102.12	15791698.577	55590977.6	89819068.0	18.6792	6.5848	10.5288	25.0457	0.5777	0.0147	0.5623	0.5961	1.0	0.0	1.0	1.0	0.7776	0.0123	0.7622	0.7937	1.0	0.0	1.0	1.0	0.0203	0.0187	0.0047	0.0433																													0.0	0.0	0.0	0.0	894.4	42.4811	843.0	937.0	0.0	0.0	0.0	0.0	8106.6	42.4811	8064.0	8158.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	749.9877	0.0005	749.9871	749.9886	1999.9657	0.0023	1999.9631	1999.9694	1249.978	0.0022	1249.9756	1249.9817	750.0	0.0	750.0	750.0	2000.0	0.0	2000.0	2000.0	1250.0	0.0	1250.0	1250.0	1.8	0.0	1.8	1.8	733.3829	46.8873	693.3392	791.8332	7757.4	15.5769	7735.0	7779.0	7544.4	31.6139	7510.0	7601.0	0.0	0.0	0.0	0.0
PXD075707	5	MS2-only	unknown	False	False	0.0	0.0	0.0	0.0	5822.6	1875.2816	3378.0	8447.0	76.568	17.7213	65.2486	111.6817									1741.0381	143.2443	1641.4135	2009.6851					0.3147	0.1629	0.1005	0.5871									0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0					878187561.0966	1044452863.06	130512405.0819	2949657100.1775									5.5291	0.1426	5.3203	5.6874	0.0	0.0	0.0	0.0	1.5502	0.3466	1.2838	2.2254	0.0	0.0	0.0	0.0																					0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0																																	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5822.6	1875.2816	3378.0	8447.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																													1326.9288	289.5152	946.2565	1669.5407	5192.4	1743.0304	2399.0	7101.0	4965.6	1672.899	2191.0	6735.0	0.0	0.0	0.0	0.0
PXD076477	5	DDA	mixed	True	True	47.0	0.0	47.0	47.0	619.8	4.3081	616.0	626.0	3.1042	0.0022	3.1015	3.1075	0.1021	0.0	0.1021	0.1021	450.8072	0.0154	450.7889	450.8228	229.8851	0.0	229.8851	229.8851	449.042	0.5748	448.263	449.7077	114.1554	0.1064	114.0684	114.2857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93848244.9552	23598956.7984	64847248.9277	125068559.1787	24436860.6587	5305733.0952	18807294.4047	31952246.5874	3.847	0.5913	2.9686	4.8221	9.3649	0.1806	9.182	9.6769	9.7289	0.0782	9.6284	9.8266	0.0	0.0	0.0	0.0	1.0383	0.1563	0.8317	1.2787	0.0	0.0	0.0	0.0	0.1905	0.12	0.0888	0.419	0.1005	0.0717	0.0414	0.2361	701070213.5955	105971242.599	579776705.2062	838262751.5766	1.2489	0.2626	1.067	1.7434					0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																	47.0	0.0	47.0	47.0	0.0	0.0	0.0	0.0	619.8	4.3081	616.0	626.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	380.0614	0.0277	380.0176	380.1036	992.1713	1.8547	989.5791	995.3188	612.1099	1.8377	609.5615	615.2485																					0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PXD077492	5	DIA	centroid	False	True	1732.6	3.3823	1728.0	1736.0	5197.8	10.1469	5184.0	5208.0	56.0134	0.0041	56.008	56.0184	55.9902	0.0044	55.9851	55.9965	39.3453	4.9975	33.7022	48.6934	185.8957	11.4455	172.8111	206.044	29.2794	0.5785	28.5714	30.0	59.9114	2.4618	56.4387	62.9525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15331539.7576	709861.8348	14490792.5011	16363788.7401	176723.9144	30478.8634	144649.2802	213975.1083	88.7033	11.4417	73.1819	100.1788	5.0884	0.0241	5.0467	5.1219	4.3345	0.0139	4.3167	4.3505	0.005	0.0015	0.0027	0.0067	0.5482	0.047	0.5116	0.6375	0.0	0.0	0.0	0.0	0.6469	0.1211	0.517	0.8556	0.1754	0.0293	0.1485	0.2305	204491.4875	13123.2265	183065.5891	220095.1125	1.1512	0.0509	1.1103	1.2489					1.0	0.0	1.0	1.0	0.1084	0.0194	0.0758	0.1303	1.0	0.0	1.0	1.0	0.004	0.0016	0.0023	0.0061	0.0175	0.0	0.0175	0.0175	2.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.4	0.0	0.4	0.4	5.5976	0.808	4.4169	6.675	0.3567	0.0003	0.3564	0.3571	0.8207	0.0148	0.7917	0.8333	1732.6	3.3823	1728.0	1736.0	0.0	0.0	0.0	0.0	5197.8	10.1469	5184.0	5208.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	440.0117	0.0054	440.0058	440.0219	539.9526	0.0259	539.921	539.9788	99.941	0.0226	99.9114	99.9614	440.0	0.0	440.0	440.0	540.0	0.0	540.0	540.0	100.0	0.0	100.0	100.0	2.0	0.0	2.0	2.0	675.79	0.0	675.79	675.79	2.0	0.0	2.0	2.0	80.0	12.0499	66.0	102.0	0.0	0.0	0.0	0.0
PXD077765	5	DDA	centroid	False	True	2471.0	379.4865	2246.0	3228.0	11163.8	497.7226	10204.0	11555.0	70.0044	0.011	69.9918	70.018	69.975	0.014	69.9579	69.9933	133.8506	106.9663	44.1664	271.0027	323.7743	6.9923	317.2924	332.5942	28.8835	0.2089	28.4927	29.1135	72.1064	35.8256	0.5286	93.1388	0.4	0.8	0.0	2.0	0.2	0.4	0.0	1.0	0.6	1.2	0.0	3.0	337.4	306.3316	12.0	801.0	4628719014.0585	1234340881.7981	3054980162.5258	5987147146.6961	1703860.0376	694148.9895	1031995.4841	2959033.9588	2893.4283	683.4185	1974.7575	4077.9525	9.9417	0.1515	9.7932	10.2281	6.5333	0.1943	6.2962	6.7751	0.054	0.038	0.0172	0.1142	2.2993	0.3536	1.869	2.8739	0.0	0.0	0.0	0.0	1.0082	0.1982	0.8247	1.3574	0.5303	0.0799	0.4627	0.6756	5040923.2497	2768248.3208	7157.8234	7295207.9	225.7895	434.1841	3.8553	1094.1047	0.2448	0.0295	0.2004	0.2886	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0709	0.031	0.0171	0.1008																													2471.0	379.4865	2246.0	3228.0	0.0	0.0	0.0	0.0	11163.8	497.7226	10204.0	11555.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	300.1593	0.0087	300.1442	300.1676	1999.9999	0.0001	1999.9998	2000.0001	1699.8405	0.0087	1699.8323	1699.8556	300.0	0.0	300.0	300.0	2000.0	0.0	2000.0	2000.0	1700.0	0.0	1700.0	1700.0	1.0	0.0	1.0	1.0	680.3469	55.9557	589.0132	751.7459	11059.4	477.6378	10137.0	11445.0	11059.4	477.6378	10137.0	11445.0	0.0	0.0	0.0	0.0
PXD078272	5	MS1-only	centroid	False	True	302.2	63.1234	186.0	378.0	0.0	0.0	0.0	0.0	1.7598	1.0945	0.9983	3.9043	1.6547	1.1275	0.9983	3.9043	235.2708	93.62	91.5774	309.9459					163.6687	86.1951	43.7166	238.0029					0.6	0.8	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77095985.2898	60643888.4145	14591850.4926	187714800.5217									6.293	0.6748	4.9771	6.8542													0.0	0.0	0.0	0.0	0.6647	0.4022	0.2429	1.2523	0.321	0.1801	0.1341	0.5579	27081282.1123	22132479.1488	23451.9768	51541202.4	59.5051	110.1977	1.2781	279.7131																																																	302.2	63.1234	186.0	378.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	401.7976	3.2172	400.0894	408.2308	3977.0286	20.4776	3938.699	3994.7498	3575.231	20.4349	3538.6096	3594.5065	400.0	0.0	400.0	400.0	4000.0	0.0	4000.0	4000.0	3600.0	0.0	3600.0	3600.0									0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PXD079072	5	DDA	centroid	False	True	7597.4	356.9872	7070.0	8074.0	28515.2	11277.3402	13523.0	39902.0	189.9983	0.0051	189.99	190.0058	154.2602	15.6442	122.9929	162.7899	85.4027	2.6781	80.2333	87.4792	2555.0629	42.4695	2516.4291	2633.7622	19.0495	0.0634	18.9553	19.1205	1.2227	1.4809	0.0537	3.5785	29.2	23.878	0.0	72.0	29.4	23.9299	0.0	72.0	0.0	0.0	0.0	0.0	91.4	106.2913	3.0	292.0	10643214196.1058	7246341920.8916	1551582554.9651	17311667155.6144	15796582.4945	10632484.3001	2044549.6769	26604040.3704	668.492	70.322	546.0319	758.8872	4.9694	0.208	4.6999	5.3086	5.6184	0.618	4.8446	6.3407	0.0368	0.0306	0.0091	0.0814	1.5985	0.0698	1.4875	1.6877	0.0	0.0	0.0	0.0	2.7249	0.7565	1.925	4.1154	0.7566	0.0585	0.685	0.8499	20116.8093	283.5487	19600.169	20375.7513	672.9535	383.7065	173.5757	1070.0329					0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																	7597.4	356.9872	7070.0	8074.0	0.0	0.0	0.0	0.0	28515.2	11277.3402	13523.0	39902.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	300.0071	0.0043	300.0028	300.0145	1199.9736	0.0076	1199.9644	1199.9865	899.9664	0.0107	899.9498	899.9836																					0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ST003600	12	DDA	profile	True	False	1891.75	57.27	1832.0	2000.0	8194.0	1522.8015	6591.0	9840.0	30.0013	0.0032	29.9974	30.0069	29.9893	0.0069	29.9755	29.998	202.6874	21.9417	175.7593	224.4216	807.7764	15.0883	796.8127	838.223	24.5547	0.572	23.9561	25.7139	63.1551	21.3315	35.4296	87.6678	0.0	0.0	0.0	0.0	0.0833	0.2764	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9149330514.6905	3114329880.6552	5973872544.2467	13006597905.1555	42072555.575	21411235.8574	20398946.7757	66711484.0075	242.8022	50.2694	188.2775	297.2943	9.437	1.0034	8.3763	10.4547	6.6782	0.3118	6.3399	7.0564	0.0	0.0	0.0	0.0	1.6207	0.0969	1.5185	1.7819	0.5061	0.0034	0.5027	0.5102	0.3661	0.0761	0.2721	0.4641	0.1941	0.0359	0.15	0.2405	170145243.8083	65906224.8442	98646335.2	248356060.0	1.5866	0.1275	1.4125	1.7767	0.9752	0.0012	0.9731	0.9772	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0075	0.0073	0.0003	0.0168																													926.5833	926.6807	0.0	1885.0	965.1667	966.0008	0.0	2000.0	4857.0	4857.5432	0.0	9840.0	3337.0	3337.4866	0.0	6808.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.5035	0.0004	49.503	49.5039	505.0497	0.0009	505.048	505.0509	455.5462	0.0008	455.545	455.5477	50.0	0.0	50.0	50.0	500.0	0.0	500.0	500.0	450.0	0.0	450.0	450.0	2.0	0.0	2.0	2.0	22.3669	0.3823	21.9815	22.7784	571.3333	48.714	505.0	627.0	570.6667	49.1263	501.0	628.0	0.0	0.0	0.0	0.0
TEST_MGF	1	MS2-only	unknown	False	False	0.0	0.0	0.0	0.0	109339.0	0.0	109339.0	109339.0	97.0117	0.0	97.0117	97.0117									253.1646	0.0	253.1646	253.1646					1.8409	0.0	1.8409	1.8409									0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0					2113063.3839	0.0	2113063.3839	2113063.3839									6.8339	0.0	6.8339	6.8339	0.0	0.0	0.0	0.0	1.2723	0.0	1.2723	1.2723	0.0	0.0	0.0	0.0																					0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0																																					0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109339.0	0.0	109339.0	109339.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																	76113.0	0.0	76113.0	76113.0	76113.0	0.0	76113.0	76113.0	0.0	0.0	0.0	0.0
TEST_THERMO	1	DDA	centroid	False	True	9061.0	0.0	9061.0	9061.0	32425.0	0.0	32425.0	32425.0	89.994	0.0	89.994	89.994	77.3645	0.0	77.3645	77.3645	175.1927	0.0	175.1927	175.1927	1555.21	0.0	1555.21	1555.21	31.8512	0.0	31.8512	31.8512	1.8703	0.0	1.8703	1.8703	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	333527680426.0929	0.0	333527680426.0929	333527680426.0929	434926205.9481	0.0	434926205.9481	434926205.9481	766.8604	0.0	766.8604	766.8604	8.3607	0.0	8.3607	8.3607	5.1796	0.0	5.1796	5.1796	0.0034	0.0	0.0034	0.0034	2.1464	0.0	2.1464	2.1464	0.0	0.0	0.0	0.0	1.0542	0.0	1.0542	1.0542	0.5558	0.0	0.5558	0.5558	9245641.0	0.0	9245641.0	9245641.0	261.7546	0.0	261.7546	261.7546	0.8392	0.0	0.8392	0.8392	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0055	0.0	0.0055	0.0055																													9061.0	0.0	9061.0	9061.0	0.0	0.0	0.0	0.0	32425.0	0.0	32425.0	32425.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	299.9978	0.0	299.9978	299.9978	1799.882	0.0	1799.882	1799.882	1499.8842	0.0	1499.8842	1499.8842	300.0	0.0	300.0	300.0	1800.0	0.0	1800.0	1800.0	1500.0	0.0	1500.0	1500.0	1.3	0.0	1.3	1.3	796.0243	0.0	796.0243	796.0243	25480.0	0.0	25480.0	25480.0	25250.0	0.0	25250.0	25250.0	0.0	0.0	0.0	0.0
